date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2017-10-01,10000.0,0,10000,0.0,0,4388.74,0,302.9
2017-10-02,10000.0,0.0,10000,0.0,0,4385.7,0,296.22
2017-10-03,10000.0,0.0,10000,0.0,0,4300.0,0,291.78
2017-10-04,10000.0,0.0,10000,0.0,0,4214.25,0,291.48
2017-10-05,10000.0,0.0,10000,0.0,0,4318.57,0,294.28
2017-10-06,10000.0,0.0,10000,0.0,0,4362.42,0,305.57
2017-10-07,10000.0,0.0,10000,0.0,0,4425.01,0,311.82
2017-10-08,10000.0,0.0,10000,0.0,0,4602.5,0,308.81
2017-10-09,10000.0,0.0,10000,0.0,0,4751.08,0,295.98
2017-10-10,10000.0,0.0,10000,0.0,0,4756.22,0,298.46
2017-10-11,10000.0,0.0,10000,0.0,0,4812.97,0,302.5
2017-10-12,10000.0,0.0,10000,0.0,0,5437.68,0,302.76
2017-10-13,10000.0,0.0,10000.0,0.0,0,5636.28,0,336.64
2017-10-14,10000.0,0.0,10000.0,0.0,0,5799.99,0,337.71
2017-10-15,10000.0,0.0,10000.0,0.0,0,5694.61,0,336.49
2017-10-16,10000.0,0.0,10000.0,0.0,0,5746.88,0,333.77
2017-10-17,10000.0,0.0,10000.0,0.0,0,5592.26,0,316.21
2017-10-18,10000.0,0.0,10000.0,0.0,0,5569.33,0,313.94
2017-10-19,10000.0,0.0,10000.0,0.0,0,5695.01,0,308.0
2017-10-20,10000.0,0.0,10000.0,0.0,0,5984.03,0,303.77
2017-10-21,10000.0,0.0,10000.0,0.0,0,6012.58,0,300.01
2017-10-22,10000.0,0.0,10000.0,0.0,0,5974.97,0,294.32
2017-10-23,10000.0,0.0,10000.0,0.0,0,5899.6,0,285.02
2017-10-24,10000.0,0.0,10000.0,0.0,0,5517.21,0,296.35
2017-10-25,10000.0,0.0,10000.0,0.0,0,5741.66,0,296.87
2017-10-26,10000.0,0.0,10000.0,0.0,0,5889.42,0,296.06
2017-10-27,10000.0,0.0,10000.0,0.0,0,5765.32,0,296.65
2017-10-28,10000.0,0.0,10000.0,0.0,0,5730.01,0,294.21
2017-10-29,10000.0,0.0,10000.0,0.0,0,6132.76,0,303.22
2017-10-30,10000.0,0.0,10000.0,0.0,0,6124.69,0,306.43
2017-10-31,10000.0,0.0,10000.0,0.0,0,6448.36,0,303.58
2017-11-01,10000.0,0.0,10000.0,0.0,0,6741.02,0,290.4
2017-11-02,10000.0,0.0,10000.0,0.0,0,7037.48,0,285.09
2017-11-03,10000.0,0.0,10000.0,0.0,0,7177.27,0,305.75
2017-11-04,10000.0,0.0,10000.0,0.0,0,7371.55,0,300.0
2017-11-05,10000.0,0.0,10000.0,0.0,0,7394.44,0,296.04
2017-11-06,10000.0,0.0,10000.0,0.0,0,6975.01,0,297.54
2017-11-07,10000.0,0.0,10000.0,0.0,0,7109.7,0,292.25
2017-11-08,10000.0,0.0,10000.0,0.0,0,7465.53,0,307.21
2017-11-09,10000.0,0.0,10000.0,0.0,0,7151.49,0,320.49
2017-11-10,10000.0,0.0,10000.0,0.0,0,6584.34,0,298.01
2017-11-11,10000.0,0.0,0.0,0.0,1.5772870662460567,6340.0,0,314.0
2017-11-12,9226.135646687697,-773.8643533123031,0.0,0.0,1.5772870662460567,5849.37,0,306.47
2017-11-13,10330.141955835963,1104.0063091482662,0.0,0.0,1.5772870662460567,6549.31,0,314.5
2017-11-14,10420.741324921135,90.59936908517193,0.0,0.0,1.5772870662460567,6606.75,0,335.39
2017-11-15,11502.602523659305,1081.86119873817,11502.602523659305,0.0,0.0,7292.65,0,331.68
2017-11-16,11502.602523659305,0.0,11502.602523659305,0.0,0.0,7852.44,0,330.01
2017-11-17,11502.602523659305,0.0,11502.602523659305,0.0,0.0,7677.17,0,331.4
2017-11-18,11502.602523659305,0.0,11502.602523659305,0.0,0.0,7776.54,0,347.37
2017-11-19,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8046.98,0,355.0
2017-11-20,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8246.01,0,368.24
2017-11-21,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8120.36,0,361.0
2017-11-22,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8240.82,0,381.0
2017-11-23,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8010.55,0,406.68
2017-11-24,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8209.88,0,470.52
2017-11-25,11502.602523659305,0.0,11502.602523659305,0.0,0.0,8779.62,0,465.51
2017-11-26,11502.602523659305,0.0,11502.602523659305,0.0,0.0,9306.21,0,469.81
